kaptCode,kaptName,doroJuso,kaptAddr,경도,위도,비고
A13010005,래미안장안2차,서울특별시 동대문구 장안벚꽃로 167,서울특별시 동대문구 장안동 329-3 래미안장안2차,127.075418262,37.574075037,도로명(1)
A13010006,장안현대홈타운,서울특별시 동대문구 장안벚꽃로 107,서울특별시 동대문구 장안동 336 장안현대홈타운,127.074574587,37.568420583,도로명(1)
A13078701,장안위더스빌,서울특별시 동대문구 한천로 42,서울특별시 동대문구 장안동 580 장안위더스빌,127.061727707,37.565953603,도로명(1)
A13084101,래미안장안,서울특별시 동대문구 장한로14길 81,서울특별시 동대문구 장안동 354-2 래미안장안,127.072802323,37.565057716,도로명(1)
A13084701,장안한신,서울특별시 동대문구 사가정로 245-3,서울특별시 동대문구 장안동 555-1 장안한신,127.071596513,37.579231077,도로명(1)
A13071201,청량리홍릉동부임대,서울특별시 동대문구 제기로26길 26,서울특별시 동대문구 청량리동 213 청량리홍릉동부임대,127.045304963,37.58557079,도로명(1)
A13086701,청량리현대,서울특별시 동대문구 약령시로21길 30,서울특별시 동대문구 청량리동 234-2 청량리현대,127.045763815,37.584448296,도로명(1)
A13086703,청량리한신1차,서울특별시 동대문구 제기로 129,서울특별시 동대문구 청량리동 59 청량리한신1차,127.047592686,37.587390714,도로명(1)
A13086704,청량리한신,서울특별시 동대문구 제기로 131,서울특별시 동대문구 청량리동 60 청량리한신,127.048838774,37.587766966,도로명(1)
A13086705,청량리미주,서울특별시 동대문구 약령시로 147,서울특별시 동대문구 청량리동 235-1 청량리미주,127.046459872,37.584307676,도로명(1)
A13086802,청량리홍릉동부,서울특별시 동대문구 홍릉로10길 48,서울특별시 동대문구 청량리동 212 청량리홍릉동부,127.045678807,37.586495944,도로명(1)
A10023539,한일베라체캠퍼스,서울특별시 동대문구 이문로 37,서울특별시 동대문구 회기동 346-18 한일베라체캠퍼스,127.056077928,37.5907457,도로명(1)
A13070101,회기힐스테이트,서울특별시 동대문구 회기로26길 15,서울특별시 동대문구 회기동 351 회기힐스테이트,127.052702666,37.590503318,도로명(1)
A13087201,청량리신현대,서울특별시 동대문구 이문로1길 21,서울특별시 동대문구 회기동 65 청량리신현대,127.052735098,37.588886418,도로명(1)
A10020570,휘경자이디센시아,서울특별시 동대문구 외대역동로 63-27,서울특별시 동대문구 휘경동 172 휘경자이디센시아,127.061256863,37.591786344,도로명(1)
A10023368,회기역 하트리움,서울특별시 동대문구 망우로 46,서울특별시 동대문구 휘경동 380 회기역 하트리움,127.058791747,37.58876566,도로명(1)
A10024082,이문휘경지웰에스테이트,서울특별시 동대문구 외대역동로 63-12,서울특별시 동대문구 휘경동 377 이문휘경지웰에스테이트,127.063902142,37.594575328,도로명(1)
A10024244,서울휘경행복주택,서울특별시 동대문구 장안벚꽃로 317,서울특별시 동대문구 휘경동 376 서울휘경행복주택,127.070016431,37.586895541,도로명(1)
A10025015,휘경 해모로 프레스티지 아파트,서울특별시 동대문구 외대역동로1길 60-3,서울특별시 동대문구 휘경동 243 휘경 해모로 프레스티지 아파트,127.063017044,37.591628027,도로명(1)
A10025410,휘경SK뷰아파트,서울특별시 동대문구 휘경로 60,서울특별시 동대문구 휘경동 128-12 휘경SK뷰아파트,127.064951273,37.594155144,도로명(1)
A10027101,휘경현대아파트,,서울특별시 동대문구 휘경동 363 휘경현대아파트,127.05561801579395,37.586297187706734,지번(2)
A13009001,휘경동양1.2차,서울특별시 동대문구 망우로 135,서울특별시 동대문구 휘경동 115 휘경동양1.2차,127.06727676,37.592487584,도로명(1)
A13009002,휘경주공1단지,서울특별시 동대문구 한천로 248,서울특별시 동대문구 휘경동 57 휘경주공1단지,127.069551021,37.584011771,도로명(1)
A13009003,브라운스톤휘경,서울특별시 동대문구 망우로20길 86,서울특별시 동대문구 휘경동 368 브라운스톤휘경,127.067674381,37.590241415,도로명(1)
A13009101,휘경롯데낙천대,서울특별시 동대문구 외대역동로1길 24,서울특별시 동대문구 휘경동 109 휘경롯데낙천대,127.063470752,37.591808966,도로명(1)
A13009202,휘경동일하이빌,서울특별시 동대문구 장안벚꽃로5길 10,서울특별시 동대문구 휘경동 365 휘경동일하이빌,127.073605029,37.582564155,도로명(1)
A13009206,휘경동일스위트리버,서울특별시 동대문구 한천로 300,서울특별시 동대문구 휘경동 366 휘경동일스위트리버,127.06802087,37.58748271,도로명(1)
A13077702,휘경 미소지움아파트,서울특별시 동대문구 망우로 105,서울특별시 동대문구 휘경동 106 휘경 미소지움아파트,127.064651298,37.591284667,도로명(1)
A13077703,휘경롯데1차,서울특별시 동대문구 망우로 95,서울특별시 동대문구 휘경동 78 휘경롯데1차,127.062731848,37.591033431,도로명(1)
A13078301,휘경센트레빌,서울특별시 동대문구 외대역동로 14,서울특별시 동대문구 휘경동 367 휘경센트레빌,127.067949681,37.591156019,도로명(1)
